source,target,relationship_type,relationship_source,relationship_source2,relationship_source3,last_updated
Appen,Adobe,Customer,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,,5/20/26
Appen,Amazon,Customer,https://www.businessinsider.com/scale-ai-meta-big-tech-rivals-poach-contractors-clients-2025-6,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,5/20/26
Appen,Clear Global,Customer,https://www.appen.com/press-release/appen-partners-with-clear-global-for-first-of-its-kind-translation-project,,,5/20/26
Appen,Meta,Customer,https://pulitzercenter.org/stories/platform-proletariat,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,https://www.theguardian.com/australia-news/2024/oct/25/contractors-training-amazon-meta-and-microsofts-ai-systems-left-without-pay-after-appen-moves-to-new-platform,5/20/26
Appen,Microsoft,Customer,https://pulitzercenter.org/stories/platform-proletariat,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf, https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,5/20/26
Appen,Salesforce,Customer,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,,,5/20/26
Appen,NVIDIA,Customer,https://www.businessinsider.com/scale-ai-meta-big-tech-rivals-poach-contractors-clients-2025-6,https://pulitzercenter.org/stories/platform-proletariat,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,5/20/26
Appen,US Department of Defense,Customer,https://www.thebureauinvestigates.com/stories/2026-02-23/appen-gig-workers-us-military,,,5/20/26
Appen,Knockri,Partner,https://www.appen.com/press-release/appen-partners-with-knockri-to-use-ai-for-ethical-hiring,,,5/20/26
GlobalLogic,Adobe,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,Amazon Web Services,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,boomi,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,Elektrobit,Partner,https://www.globallogic.com/about/press-room/press-release/globallogic-and-elektrobit-strengthen-partnership-to-accelerate-next-generation-software-defined-vehicles/,,,5/20/26
GlobalLogic,Google,Customer,,,,5/20/26
GlobalLogic,Google Cloud,Partner,https://www.globallogic.com/about/press-room/press-release/globallogic-announces-availability-of-velocityai-on-google-cloud-marketplace-to-accelerate-enterprise-ai-adoption-and-it-ot-integration-at-scale/,,,5/20/26
GlobalLogic,Microsoft,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,NVIDIA,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,Salesforce,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,ServiceNow,Partner,https://www.globallogic.com/il/about/partners/,,,5/20/26
GlobalLogic,Peak XV Partners,Investor,https://www.peakxv.com/companies/global-logic/,,,5/20/26
GlobalLogic,New Enterprise Associates,Investor,https://www.nea.com/portfolio/globallogic,,,5/20/26
GlobalLogic,CPP Investments,Investor,https://www.globallogic.com/about/press-room/press-release/canada-pension-plan-investment-board-to-acquire-an-approximate-48-percent-stake-in-globallogic-inc-from-apax-funds/,,,5/20/26
Handshake AI,OpenAI,Customer,https://www.theverge.com/ai-artificial-intelligence/893931/ai-companies-handshake-improv-actors-training-data,https://www.businessinsider.com/contractors-claim-unpaid-wages-handshake-ai-suspended-accounts-2026-2,,5/20/26
Handshake AI,EQT Ventures,Investor,https://www.bloomberg.com/news/articles/2022-01-19/coatue-backed-job-platform-handshake-valued-at-3-5-billion,https://www.venturecapitaljournal.com/eqt-ventures-leads-series-c-round-for-college-students-career-network-handshake/,,5/20/26
Handshake AI,Kleiner Perkins,Investor,https://www.businessinsider.com/contractors-claim-unpaid-wages-handshake-ai-suspended-accounts-2026-2,https://techcrunch.com/2021/05/12/handshake-raises-80m-at-a-1-5b-valuation-as-its-diversity-focused-recruitment-network-for-grads-passes-18m-users/,https://www.bloomberg.com/news/articles/2022-01-19/coatue-backed-job-platform-handshake-valued-at-3-5-billion,5/20/26
Handshake AI,GGV Capital,Investor,https://www.bloomberg.com/news/articles/2022-01-19/coatue-backed-job-platform-handshake-valued-at-3-5-billion,https://techcrunch.com/2021/05/12/handshake-raises-80m-at-a-1-5b-valuation-as-its-diversity-focused-recruitment-network-for-grads-passes-18m-users/,,5/20/26
Handshake AI,Lightspeed Venture Partners,Investor,https://www.businessinsider.com/contractors-claim-unpaid-wages-handshake-ai-suspended-accounts-2026-2,https://www.bloomberg.com/news/articles/2022-01-19/coatue-backed-job-platform-handshake-valued-at-3-5-billion,https://techcrunch.com/2021/05/12/handshake-raises-80m-at-a-1-5b-valuation-as-its-diversity-focused-recruitment-network-for-grads-passes-18m-users/,5/20/26
Handshake AI,Spark Capital,Investor,https://www.businessinsider.com/contractors-claim-unpaid-wages-handshake-ai-suspended-accounts-2026-2,,https://techcrunch.com/2021/05/12/handshake-raises-80m-at-a-1-5b-valuation-as-its-diversity-focused-recruitment-network-for-grads-passes-18m-users/,5/20/26
