name,industry,location,notes,has legit relationship?
Bahar,Non-profit & Philanthropy ,Turkey,,Yes
Bill & Melinda Gates Foundation,Non-profit & Philanthropy ,"Seattle, WA, USA",,Yes
Clear Global,Non-profit & Philanthropy ,Ireland,,Yes
Cystic Fibrosis Foundation,Non-profit & Philanthropy ,"Bethesda, MD, USA",,Yes
Google.org,Non-profit & Philanthropy ,"Mountain View, CA, USA",,Yes
Inara,Non-profit & Philanthropy ,"Wassaic, NY, USA",,Yes
Michael & Susan Dell Foundation,Non-profit & Philanthropy ,"Austin, TX, USA",,Yes
Omidyar Network India,Non-profit & Philanthropy ,"Mumbai, India",,No
Partnership on AI,Non-profit & Philanthropy ,USA,,No
Rockefeller Foundation,Non-profit & Philanthropy ,"New York, NY, USA",,Yes
Syrian Legal Development Programme (SLDP),Non-profit & Philanthropy ,"London, England, United Kingdom",,Yes
The Disability Opportunity Fund,Non-profit & Philanthropy ,"Rockville Centre, NY, USA",,Yes
European Commission,Government,Belgium,,Yes
FBI,Government,USA,,Yes
Ministry of Electronics and Information Technology of India - MeitY,Government,India,,Yes
NASA,Government,USA,,Yes
US Air Force,Government,USA,,No
01 Advisors,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
8VC,Finance & Venture Capital,"Austin, TX, USA",,Yes
AAA,Insurance,"Heathrow, FL, USA",,Yes
Academic Partnerships,Education,"Dallas, TX, USA",,No
Accel,Finance & Venture Capital,"Palo Alto, CA, USA",,Yes
ACXIT Capital Partners,Finance & Venture Capital,"Frankfurt, Germany",,Yes
Adept,Tech,"San Francisco, CA, USA",,Yes
Adobe,Tech,"San Jose, CA, USA",,Yes
Advent International,Finance & Venture Capital,"Boston, MA, USA",,Yes
Aerion Partners,Finance & Venture Capital,"London, England, United Kingdom",,Yes
AI21 Labs,Tech,"Tel Aviv, Israel",,Yes
Aimia,Finance & Venture Capital,"Toronto, Canada",,Yes
AIMMO,Data Work Company,South Korea,,Yes
Airbnb,Tech,USA,,Yes
Alchemist Accelerator,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
Alegion,Data Work Company,"Austin, TX, USA; Singapore",,Yes
Ali Omar,Finance & Venture Capital,"Helsinki, Finland",,Yes
Allstate,Insurance,USA,,Yes
Alorica,Other,"Irvine, CA, USA",,Yes
Alpha Wave Global,Finance & Venture Capital,"New York, NY, USA",,Yes
AltaIR Capital,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
Alteria Capital,Finance & Venture Capital,"Mumbai, India",,Yes
Alumni Ventures,Finance & Venture Capital,"Manchester, NH, USA",,Yes
Amaron,Healthcare & Pharmaceuticals,Belgium,,Yes
Amazon,Tech,USA,,Yes
Amazon Alexa Fund,Finance & Venture Capital,"Seattle, WA, USA",,Yes
Amazon Web Services,Tech,USA,,Yes
Amplify Partners,Finance & Venture Capital,"Menlo Park, CA, USA",,Yes
Ancestry,Other,USA,,Yes
Andreessen Horowitz,Finance & Venture Capital,"Menlo Park, CA, USA",,Yes
Ankur Capital,Finance & Venture Capital,"Mumbai, India",,Yes
Annotation Box,Data Work Company,"Florida, USA",,Yes
Anthropic,Tech,USA,,Yes
Apax Partners,Finance & Venture Capital,"London, England, United Kingdom",,Yes
Appen,Data Work Company,"Chatswood, New South Wales, Australia",,Yes
Apple,Tech,USA,,Yes
AppTech Systems,Tech,"Istanbul, Turkey",,Yes
ArcelorMittal,Manufacturing & Agriculture,Luxembourg,,Yes
Argilla,Data Work Company,"Madrid, Spain",,Yes
Arterys,Tech,"San Francisco, CA, USA",,No
Aurora,Tech,"Pittsburgh, PA, USA",,Yes
Auto Desk,Tech,"San Francisco, CA, USA",,Yes
Automation Anywhere,Tech,USA,,Yes
B Capital,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
b2venture,Finance & Venture Capital,"St. Gallen, Switzerland",,No
BACKED VC,Finance & Venture Capital,"London, England, United Kingdom",,Yes
Base10 Partners,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
BASF,Manufacturing & Agriculture,Germany,,Yes
Bayer,Healthcare & Pharmaceuticals,Germany,,Yes
Berkeley SkyDeck Fund,Finance & Venture Capital,"Berkeley, CA, USA",,Yes
Bharat Inclusion Initiative,Finance & Venture Capital,"Ahmedabad, India",,Yes
BigCode,Tech,,Unknown location,No
Black & Decker,Retail & Consumer Goods,USA,,Yes
BlackRock,Finance & Venture Capital,"New York, NY, USA",,Yes
Blackstone Group,Finance & Venture Capital,"New York, NY, USA",,Yes
BNY Mellon,Finance & Venture Capital,"New York, NY, USA",,Yes
Boeing,Manufacturing & Agriculture,"Arlington, Virginia",,Yes
Bosch,Retail & Consumer Goods,Germany,,Yes
Boston Millennia Partners,Finance & Venture Capital,"Boston, MA, USA",,Yes
Bow Capital,Finance & Venture Capital,"Menlo Park, CA, USA",,Yes
Bracket Capital,Finance & Venture Capital,"Los Angeles, CA, USA",,No
Bridge Bank,Finance & Venture Capital,"San Jose, CA, USA",,Yes
Bristol Myers Squibb,Healthcare & Pharmaceuticals,USA,,Yes
British International Investment,Finance & Venture Capital,"London, England, United Kingdom",,Yes
Brunswick,Manufacturing & Agriculture,"Mettawa, IL, USA",,Yes
Buhler,Manufacturing & Agriculture,"Uzwil, Switzerland",,Yes
Burberry,Retail & Consumer Goods,United Kingdom,,Yes
Bynd Venture Capital,Finance & Venture Capital,"Lisbon, Portugal",,Yes
ByteDance,Tech,China,,Yes
Cainthus,Manufacturing & Agriculture,Ireland,,Yes
CallMiner,Tech,USA,,No
Canva,Tech,"Sydney, Australia",,Yes
CAPE Analytics,Finance & Venture Capital,Germany,,Yes
CapeStart,Data Work Company,"Cambridge, MA, USA",,Yes
Carolinas HealthCare System,Healthcare & Pharmaceuticals,"Charlotte, NC, USA",,Yes
Celesta Capital,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
Centrical,Tech,USA,,No
Character.ai,Tech,USA,,Yes
Charlie Songhurst,Finance & Venture Capital,"Kirkland, WA, USA",,Yes
Chegg,Education,USA,,Yes
Chicago Pacific Founders,Finance & Venture Capital,"Chicago, IL, USA",,Yes
Chiratae Ventures,Finance & Venture Capital,"Bengaluru, India",,Yes
Chubb,Insurance,"Zurich, Switzerland",,Yes
Citi,Finance & Venture Capital,"New York, NY, USA",,Yes
Citrix,Tech,USA,,No
Clickworker,Data Work Company,"Essen, Nordrhein-Westfalen, Germany",,Yes
Clorox,Retail & Consumer Goods,"Oakland, CA, USA",,Yes
Cloud Factory,Data Work Company,US / UK / Nepal / Kenya,,No
CloudFactory,Data Work Company,"Reading, UK",,Yes
Coatue,Finance & Venture Capital,"New York, NY, USA",,Yes
Cogito,Data Work Company,"Levittown, NY, USA",,Yes
Cohere,Tech,"Toronto, Canada",,Yes
Coinbase,Finance & Venture Capital,USA,,Yes
CoinFund,Finance & Venture Capital,"Brooklyn, NY, USA",,Yes
Colam Impact,Finance & Venture Capital,"Paris, France",,Yes
Concentrix,Data Work Company,"Newark, CA, USA",,Yes
Confluent,Tech,"Burlingame, CA, USA",,No
Coursera,Education,"Mountain View, CA, USA",,Yes
Crane Venture Partners,Finance & Venture Capital,"London, England, United Kingdom",,Yes
Crescendo,Data Work Company,"San Francisco, CA",,Yes
Criteo,Tech,France,,Yes
Criteria Venture Tech,Finance & Venture Capital,"Barcelona, Spain",,Yes
Cropin,Data Work Company,"Bengaluru, India",,Yes
CRV,Finance & Venture Capital,"Palo Alto, CA, USA",,Yes
CSL Behring,Healthcare & Pharmaceuticals,"King of Prussia, PA, USA",,Yes
Cylance,Tech,"Irvine, CA, USA",,No
DataAnnotation.tech,Data Work Company,USA,,No
Dataloop,Data Work Company,Israel,,Yes
Datasaur Inc.,Data Work Company,"Livermore, CA, USA",,Yes
Day One Ventures,Finance & Venture Capital,"San Francisco, CA, USA",,Yes
Defined.AI,Data Work Company,"Seattle, WA, USA",,Yes
DeGould,Tech,"Exeter, United Kingdom",,Yes
Deloitte,Finance & Venture Capital,"New York, NY, USA",,Yes
DesiCrew,Data Work Company,"Chennai, India",,Yes
Devnagri,Data Work Company,"NOIDA, UP, India",,Yes
DFJ Growth,Finance & Venture Capital,"Menlo Park, CA, USA",,Yes
Doordash,Tech,"San Francisco, CA, USA",,Yes
DS Asset Management,Finance & Venture Capital,"Tokyo, Japan",,Yes
Dyna Robotics,Tech,"Redwood City, CA, USA",,Yes
E&Investment,Finance & Venture Capital,"Abu Dhabi, United Arab Emirates",,Yes
