source,target,relationship_type,relationship_source,relationship_source2,relationship_source3,screenshot,relationship_notes,from student report or DWL?,needs verification?,verification done?,verification done by?,Is target in the  nodes tab? (danya only),is source in the nodes tab?  (danya only),Include in graphs on microsite?,legit relationship?,target company not found?
Appen,Adobe,Customer,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,,,,student report,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Amazon,Customer,https://www.businessinsider.com/scale-ai-meta-big-tech-rivals-poach-contractors-clients-2025-6,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,,,student report,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Clear Global,Customer,https://www.appen.com/press-release/appen-partners-with-clear-global-for-first-of-its-kind-translation-project,,,,,student report,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Meta,Customer,https://pulitzercenter.org/stories/platform-proletariat,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,https://www.theguardian.com/australia-news/2024/oct/25/contractors-training-amazon-meta-and-microsofts-ai-systems-left-without-pay-after-appen-moves-to-new-platform,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Microsoft,Customer,https://pulitzercenter.org/stories/platform-proletariat,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf, https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,,,student report,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Salesforce,Customer,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,,,,,student report,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,NVIDIA,Customer,https://www.businessinsider.com/scale-ai-meta-big-tech-rivals-poach-contractors-clients-2025-6,https://pulitzercenter.org/stories/platform-proletariat,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,,Also partners with NVIDIA's AI Enterprise platform: https://www.appen.com/press-release/appen-teams-with-nvidia-to-enable-customized-ai-solutions,,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Oracle,Unclear,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,,,,Only referenced in a list of historic clients since 1996,,No,Yes,Tim,Yes,Yes,No,No,
Appen,Best Buy,Unclear,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,,,,Only referenced in a list of historic clients since 1996,,No,Yes,Tim,No,Yes,No,No,
Appen,Pinterest,Unclear,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/699fbc072974a573b2b7a48c_Appen%20Annual%20Report%202025.pdf,,,,Only referenced in a list of historic clients since 1996,,No,Yes,Tim,Yes,Yes,No,No,
Appen,Apple,Unclear,https://www.cnbc.com/2023/09/06/appen-which-helps-amazon-and-google-train-ai-is-reeling.html,,,,Only one reference to Apple,,No,Yes,Tim,Yes,Yes,No,No,
Appen,US Department of Defense,Customer,https://www.thebureauinvestigates.com/stories/2026-02-23/appen-gig-workers-us-military,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
Appen,Alphabet,Unclear,https://www.bloomberg.com/news/articles/2023-07-12/google-s-ai-chatbot-is-trained-by-humans-who-say-they-re-overworked-underpaid-and-frustrated,,,,Contract reportedly cut in 2024: https://www.cnbc.com/2024/01/23/alphabet-ends-contract-with-appen-which-trained-bard-google-search.html,,No,Yes,Tim,No,Yes,No,No,
Appen,Knockri,Partner,https://www.appen.com/press-release/appen-partners-with-knockri-to-use-ai-for-ethical-hiring,,,,"""Under their partnership, Appen will utilize Knockri's technology, renowned for its ability to streamline talent acquisition while ensuring ethics and transparency. The partnership will enhance the candidate experience while also empowering Appen with accurate evaluations of candidate skills.""",,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Adobe,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Amazon Web Services,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,boomi,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Elektrobit,Partner,https://www.globallogic.com/about/press-room/press-release/globallogic-and-elektrobit-strengthen-partnership-to-accelerate-next-generation-software-defined-vehicles/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Google,Customer,,,,,,student report,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Google Cloud,Partner,https://www.globallogic.com/about/press-room/press-release/globallogic-announces-availability-of-velocityai-on-google-cloud-marketplace-to-accelerate-enterprise-ai-adoption-and-it-ot-integration-at-scale/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Medtronic,Could not verify any relationship,,,,,,student report,No,Yes,Tim,Yes,Yes,No,No,
GlobalLogic,Microsoft,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,NVIDIA,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Salesforce,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,ServiceNow,Partner,https://www.globallogic.com/il/about/partners/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,Peak XV Partners,Investor,https://www.peakxv.com/companies/global-logic/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,New Enterprise Associates,Investor,https://www.nea.com/portfolio/globallogic,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
GlobalLogic,CPP Investments,Investor,https://www.globallogic.com/about/press-room/press-release/canada-pension-plan-investment-board-to-acquire-an-approximate-48-percent-stake-in-globallogic-inc-from-apax-funds/,,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
Handshake AI,OpenAI,Customer,https://www.theverge.com/ai-artificial-intelligence/893931/ai-companies-handshake-improv-actors-training-data,https://www.businessinsider.com/contractors-claim-unpaid-wages-handshake-ai-suspended-accounts-2026-2,,,,,No,Yes,Tim,Yes,Yes,Yes,Yes,
Handshake AI,EQT Ventures,Investor,https://www.bloomberg.com/news/articles/2022-01-19/coatue-backed-job-platform-handshake-valued-at-3-5-billion,https://www.venturecapitaljournal.com/eqt-ventures-leads-series-c-round-for-college-students-career-network-handshake/,,,Crunchbase,,No,Yes,Tim,Yes,Yes,Yes,Yes,
